Gene	gene_short_name
1700123O20Rik	1700123O20Rik
1700124L16Rik	1700124L16Rik
1700125G22Rik	1700125G22Rik
1700125H20Rik	1700125H20Rik
1700126G02Rik	1700126G02Rik
1810009A15Rik	1810009A15Rik
1810010H24Rik	1810010H24Rik
1810012K16Rik	1810012K16Rik
1810013L24Rik	1810013L24Rik
1810014B01Rik	1810014B01Rik
1810020O05Rik	1810020O05Rik
1810021B22Rik	1810021B22Rik
1810022K09Rik	1810022K09Rik
1810024B03Rik	1810024B03Rik
1810026B05Rik	1810026B05Rik
1810030O07Rik	1810030O07Rik
1810032O08Rik	1810032O08Rik
1810037I17Rik	1810037I17Rik
1810041H14Rik	1810041H14Rik
1810041L15Rik	1810041L15Rik
1810043G02Rik	1810043G02Rik
1810044D09Rik	1810044D09Rik
1810049J17Rik	1810049J17Rik
1810055G02Rik	1810055G02Rik
1810058I24Rik	1810058I24Rik
1810059C17Rik	1810059C17Rik
1810059H22Rik	1810059H22Rik
1810062G17Rik	1810062G17Rik
1810062O18Rik	1810062O18Rik
1810064F22Rik	1810064F22Rik
2010001A14Rik	2010001A14Rik
2010015M23Rik	2010015M23Rik
2010107E04Rik	2010107E04Rik
2010107G23Rik	2010107G23Rik
2010109A12Rik	2010109A12Rik
2010111I01Rik	2010111I01Rik
2010204K13Rik	2010204K13Rik
2010300C02Rik	2010300C02Rik
2010300F17Rik	2010300F17Rik
2010308F09Rik	2010308F09Rik
2010315B03Rik	2010315B03Rik
2010320M18Rik	2010320M18Rik
2010320O07Rik	2010320O07Rik
2200002D01Rik	2200002D01Rik
2210008F06Rik	2210008F06Rik
2210011C24Rik	2210011C24Rik
2210013O21Rik	2210013O21Rik
2210016F16Rik	2210016F16Rik
2210016L21Rik	2210016L21Rik
2210406O10Rik	2210406O10Rik
2210408F21Rik	2210408F21Rik
2210408I21Rik	2210408I21Rik
2210412B16Rik	2210412B16Rik
2300009A05Rik	2300009A05Rik
2310001H17Rik	2310001H17Rik
2310001K24Rik	2310001K24Rik
2310002F09Rik	2310002F09Rik
2310009A05Rik	2310009A05Rik
2310009B15Rik	2310009B15Rik
2310010J17Rik	2310010J17Rik
2310011J03Rik	2310011J03Rik
2310015A10Rik	2310015A10Rik
2310022A10Rik	2310022A10Rik
2310022B05Rik	2310022B05Rik
2310030G06Rik	2310030G06Rik
2310031A07Rik	2310031A07Rik
2310033P09Rik	2310033P09Rik
2310034G01Rik	2310034G01Rik
2310035C23Rik	2310035C23Rik
2310036O22Rik	2310036O22Rik
2310039H08Rik	2310039H08Rik
2310040G07Rik	2310040G07Rik
2310040G24Rik	2310040G24Rik
2310047D07Rik	2310047D07Rik
2310057M21Rik	2310057M21Rik
2310058D17Rik	2310058D17Rik
2310061I04Rik	2310061I04Rik
2310068J16Rik	2310068J16Rik
2310069G16Rik	2310069G16Rik
2310074N15Rik	2310074N15Rik
2310075C17Rik	2310075C17Rik
2410002F23Rik	2410002F23Rik
2410004B18Rik	2410004B18Rik
2410004I01Rik	2410004I01Rik
2410004P03Rik	2410004P03Rik
2410006H16Rik	2410006H16Rik
2410015M20Rik	2410015M20Rik
2410018L13Rik	2410018L13Rik
2410021H03Rik	2410021H03Rik
2410022M11Rik	2410022M11Rik
2410089E03Rik	2410089E03Rik
2410131K14Rik	2410131K14Rik
2500002B13Rik	2500002B13Rik
2500004C02Rik	2500004C02Rik
2510002D24Rik	2510002D24Rik
2510009E07Rik	2510009E07Rik
2510039O18Rik	2510039O18Rik
2510046G10Rik	2510046G10Rik
2600006K01Rik	2600006K01Rik
2610001J05Rik	2610001J05Rik
2610002M06Rik	2610002M06Rik
2610005L07Rik	2610005L07Rik
2610008E11Rik	2610008E11Rik
2610011E03Rik	2610011E03Rik
2610012C04Rik	2610012C04Rik
2610020C07Rik	2610020C07Rik
2610020H08Rik	2610020H08Rik
2610021A01Rik	2610021A01Rik
2610027K06Rik	2610027K06Rik
2610028E06Rik	2610028E06Rik
2610028H24Rik	2610028H24Rik
2610034O05Rik	2610034O05Rik
2610035D17Rik	2610035D17Rik
2610035F20Rik	2610035F20Rik
2610037D02Rik	2610037D02Rik
2610042L04Rik	2610042L04Rik
2610044O15Rik8	2610044O15Rik8
2610203C20Rik	2610203C20Rik
2610203C22Rik	2610203C22Rik
2610301B20Rik	2610301B20Rik
