Gene	Cluster	Signature
Phyh	7	Cell_Fate_2
Chchd1	7	Cell_Fate_2
Vti1b	7	Cell_Fate_2
Gm13771	7	Cell_Fate_2
Rps19bp1	7	Cell_Fate_2
Fkbp1a	7	Cell_Fate_2
Mrpl54	7	Cell_Fate_2
Sarnp	7	Cell_Fate_2
Borcs7	7	Cell_Fate_2
Naa38	7	Cell_Fate_2
Rpl36	7	Cell_Fate_2
Tmem234	7	Cell_Fate_2
Uqcrc2	7	Cell_Fate_2
Zc3h15	7	Cell_Fate_2
Churc1	7	Cell_Fate_2
Txnl4a	7	Cell_Fate_2
Slc25a3	7	Cell_Fate_2
Arpc5l	7	Cell_Fate_2
Snrpb2	7	Cell_Fate_2
Gm12696	7	Cell_Fate_2
Aprt	7	Cell_Fate_2
Rpl41	8	Cell_Fate_2
Cga	8	Cell_Fate_2
Rpl32	8	Cell_Fate_2
Rpl39	8	Cell_Fate_2
Rps15	8	Cell_Fate_2
Rps15a	8	Cell_Fate_2
Gm10076	8	Cell_Fate_2
Rps4x	8	Cell_Fate_2
Wdr89	8	Cell_Fate_2
Dlk1	8	Cell_Fate_2
Rpl37rt	8	Cell_Fate_2
Sem1	8	Cell_Fate_2
Rpl8	8	Cell_Fate_2
Gm9843	8	Cell_Fate_2
Eif1	8	Cell_Fate_2
Ndufa2	8	Cell_Fate_2
Gm9385	8	Cell_Fate_2
Gm15427	8	Cell_Fate_2
Minos1	8	Cell_Fate_2
Rpl18a	8	Cell_Fate_2
Rbx1	8	Cell_Fate_2
Gabarap	8	Cell_Fate_2
Gm15772	8	Cell_Fate_2
Rps8	8	Cell_Fate_2
Rpl7	8	Cell_Fate_2
Akr1a1	8	Cell_Fate_2
Cetn3	8	Cell_Fate_2
Myl6	8	Cell_Fate_2
Rps10-ps1	8	Cell_Fate_2
Nfu1	8	Cell_Fate_2
Rps18	8	Cell_Fate_2
Ssr4	8	Cell_Fate_2
Gm17750	8	Cell_Fate_2
Trappc1	8	Cell_Fate_2
Rps2	8	Cell_Fate_2
Rpl18-ps1	8	Cell_Fate_2
Gm10260	8	Cell_Fate_2
Csnk2b	8	Cell_Fate_2
Rpl29	8	Cell_Fate_2
Rps11-ps2	8	Cell_Fate_2
Rpl32-ps	8	Cell_Fate_2
Rpl21-ps4	8	Cell_Fate_2
Gm8692	8	Cell_Fate_2
Gm8606	8	Cell_Fate_2
Gm13641	8	Cell_Fate_2
Tbrg1	8	Cell_Fate_2
Gm4604	8	Cell_Fate_2
Rbp4	8	Cell_Fate_2
Uqcrh-ps2	8	Cell_Fate_2
Cetn2	8	Cell_Fate_2
Erp29	8	Cell_Fate_2
Gm5687	8	Cell_Fate_2
Rpl27-ps2	8	Cell_Fate_2
Tpt1	8	Cell_Fate_2
Gm4525	8	Cell_Fate_2
Rpl21-ps10	8	Cell_Fate_2
AC158620.2	8	Cell_Fate_2
S100a11	8	Cell_Fate_2
Lrpap1	8	Cell_Fate_2
mt-Nd1	9	Cell_Fate_1
mt-Nd2	9	Cell_Fate_1
Pnisr	9	Cell_Fate_1
9330162G02Rik	9	Cell_Fate_1
Nktr	9	Cell_Fate_1
Kcnq1ot1	9	Cell_Fate_1
Rbm25	9	Cell_Fate_1
Kif1b	9	Cell_Fate_1
mt-Rnr1	9	Cell_Fate_1
Ptprs	9	Cell_Fate_1
Zfp445	9	Cell_Fate_1
Wsb1	9	Cell_Fate_1
Ttc14	9	Cell_Fate_1
Ddx17	9	Cell_Fate_1
Tanc2	9	Cell_Fate_1
Erdr1	9	Cell_Fate_1
Dock4	9	Cell_Fate_1
BC005561	9	Cell_Fate_1
Adgrl3	9	Cell_Fate_1
Phip	9	Cell_Fate_1
Tra2a	9	Cell_Fate_1
Nlgn1	9	Cell_Fate_1
Scn8a	9	Cell_Fate_1
Unc80	9	Cell_Fate_1
Tnik	9	Cell_Fate_1
Tnrc6a	9	Cell_Fate_1
Ubn2	9	Cell_Fate_1
Srrm2	9	Cell_Fate_1
Celsr2	9	Cell_Fate_1
Dmxl2	9	Cell_Fate_1
Srek1	9	Cell_Fate_1
Grik5	9	Cell_Fate_1
Sox11	9	Cell_Fate_1
Prpf4b	9	Cell_Fate_1
Gpatch8	9	Cell_Fate_1
Mat2a	9	Cell_Fate_1
Wdr60	9	Cell_Fate_1
P3h3	9	Cell_Fate_1
2610203C20Rik	9	Cell_Fate_1
Chd8	9	Cell_Fate_1
Git2	9	Cell_Fate_1
Paxbp1	9	Cell_Fate_1
Clstn1	9	Cell_Fate_1
Apc2	9	Cell_Fate_1
Adgrb2	9	Cell_Fate_1
Abca2	9	Cell_Fate_1
Ccnt2	9	Cell_Fate_1
Far1	9	Cell_Fate_1
Map4k4	9	Cell_Fate_1
Cst3	10	Pre_branch
Fth1	10	Pre_branch
Txn1	10	Pre_branch
Fabp5	10	Pre_branch
Gm5905	10	Pre_branch
Ptn	10	Pre_branch
Prdx1	10	Pre_branch
Gm11478	10	Pre_branch
Selenom	10	Pre_branch
Slc25a5	10	Pre_branch
Tmem256	10	Pre_branch
Itm2b	10	Pre_branch
Gm14303	10	Pre_branch
Mt3	10	Pre_branch
Gstm5	10	Pre_branch
Gm4332	10	Pre_branch
Cnpy2	10	Pre_branch
Pfn1	10	Pre_branch
Selenok	10	Pre_branch
AC124744.2	10	Pre_branch
Krtcap2	10	Pre_branch
Id2	10	Pre_branch
Gm12254	10	Pre_branch
Rpl36al	10	Pre_branch
Cnbp	10	Pre_branch
Atox1	10	Pre_branch
Ubxn1	10	Pre_branch
Tpt1-ps3	10	Pre_branch
Mrps6	10	Pre_branch
Fam213a	10	Pre_branch
Mrps33	10	Pre_branch
Spcs2	10	Pre_branch
Fam183b	10	Pre_branch
Gm6977	10	Pre_branch
Rps27l	10	Pre_branch
Phyhipl	10	Pre_branch
Rpl18	10	Pre_branch
Rpl27a	10	Pre_branch
Mrpl17	10	Pre_branch
Gm6166	10	Pre_branch
Gm14328	10	Pre_branch
Mrfap1	10	Pre_branch
Elof1	10	Pre_branch
Cope	10	Pre_branch
Rps15-ps2	10	Pre_branch
Mocs2	10	Pre_branch
Anp32b	10	Pre_branch
Rps9	11	Pre_branch
Rps20	11	Pre_branch
Uqcr10	11	Pre_branch
Uqcrh	11	Pre_branch
Uqcr11	11	Pre_branch
Ndufa12	11	Pre_branch
Rps10	11	Pre_branch
Arl6ip1	11	Pre_branch
Gm15920	11	Pre_branch
Rpl13	11	Pre_branch
Arl3	11	Pre_branch
Gm10269	11	Pre_branch
Hspe1	11	Pre_branch
Ndufs8	11	Pre_branch
Psmb2	11	Pre_branch
Prdx5	11	Pre_branch
Ndufb4	11	Pre_branch
Psmb3	11	Pre_branch
Psma4	11	Pre_branch
Rpl22	11	Pre_branch
Ccdc28b	11	Pre_branch
Anapc13	11	Pre_branch
St13	11	Pre_branch
Snrpg	11	Pre_branch
AC156576.4	11	Pre_branch
Commd1	11	Pre_branch
Ndufs7	11	Pre_branch
Ndufb9	11	Pre_branch
Higd2a	11	Pre_branch
Pdcd5	11	Pre_branch
Snx3	11	Pre_branch
Txn-ps1	11	Pre_branch
Snhg8	11	Pre_branch
D8Ertd738e	11	Pre_branch
Mrps24	11	Pre_branch
Ntan1	11	Pre_branch
Uqcrfs1	11	Pre_branch
Ldhb	11	Pre_branch
Rpl31-ps8	11	Pre_branch
Mrps21	11	Pre_branch
Aurkaip1	11	Pre_branch
Zfp706	11	Pre_branch
Phf5a	11	Pre_branch
Ten1	11	Pre_branch
Bola1	11	Pre_branch
7-Sep	11	Pre_branch
Psmd12	11	Pre_branch
Gm2962	11	Pre_branch
Gm6136	11	Pre_branch
Pigp	11	Pre_branch
Macf1	12	Cell_Fate_1
Cadm2	12	Cell_Fate_1
Sall3	12	Cell_Fate_1
Smc5	12	Cell_Fate_1
Rlim	12	Cell_Fate_1
Shisa9	12	Cell_Fate_1
Ash1l	12	Cell_Fate_1
Cluh	12	Cell_Fate_1
