Gene	Cluster	Signature
Rps15a-ps5	1	Cell_Fate_1
Avp	2	Cell_Fate_2
Gnas	2	Cell_Fate_2
Oxt	2	Cell_Fate_2
Rps11	2	Cell_Fate_2
Pmch	2	Cell_Fate_2
Tbca	2	Cell_Fate_2
Ndufa7	2	Cell_Fate_2
AC121965.1	2	Cell_Fate_2
Atp6v1f	2	Cell_Fate_2
Ubl5	2	Cell_Fate_2
Ndufa11	2	Cell_Fate_2
Snrpd3	2	Cell_Fate_2
Gm6472	2	Cell_Fate_2
Rps7	2	Cell_Fate_2
Rpl38	2	Cell_Fate_2
Ndufb2	2	Cell_Fate_2
Nedd8	2	Cell_Fate_2
Cops9	2	Cell_Fate_2
Romo1	2	Cell_Fate_2
Srp14	2	Cell_Fate_2
Atp5g1	2	Cell_Fate_2
Mpc2	2	Cell_Fate_2
Psmb4	2	Cell_Fate_2
Rps3a1	2	Cell_Fate_2
Spcs1	2	Cell_Fate_2
Gm10250	2	Cell_Fate_2
Tmem258	2	Cell_Fate_2
Nenf	2	Cell_Fate_2
Bag1	2	Cell_Fate_2
Ndufb3	2	Cell_Fate_2
Rpl3-ps1	2	Cell_Fate_2
Gm10263	2	Cell_Fate_2
Anapc11	2	Cell_Fate_2
Tceal9	2	Cell_Fate_2
Gm14539	2	Cell_Fate_2
Rabac1	2	Cell_Fate_2
Gm29228	2	Cell_Fate_2
Txndc17	2	Cell_Fate_2
Grcc10	2	Cell_Fate_2
Ndufv2	2	Cell_Fate_2
2700060E02Rik	2	Cell_Fate_2
Timm13	2	Cell_Fate_2
Aldoa	2	Cell_Fate_2
Mrpl41	2	Cell_Fate_2
Cystm1	2	Cell_Fate_2
Trappc2l	2	Cell_Fate_2
1810022K09Rik	2	Cell_Fate_2
Rpl11	2	Cell_Fate_2
Gm6265	2	Cell_Fate_2
Eif3g	2	Cell_Fate_2
Arpc3	2	Cell_Fate_2
Mrpl14	2	Cell_Fate_2
Tmem160	2	Cell_Fate_2
Magoh	2	Cell_Fate_2
Gm6394	2	Cell_Fate_2
Gm11273	2	Cell_Fate_2
Gm13815	2	Cell_Fate_2
Snhg12	2	Cell_Fate_2
Fam96b	2	Cell_Fate_2
Phpt1	2	Cell_Fate_2
Rpl31	2	Cell_Fate_2
Mrpl57	2	Cell_Fate_2
Ndufs4	2	Cell_Fate_2
Gm43655	2	Cell_Fate_2
Mrpl27	2	Cell_Fate_2
Gm5558	2	Cell_Fate_2
Gm15151	2	Cell_Fate_2
Polr2g	2	Cell_Fate_2
Gabarapl2	2	Cell_Fate_2
Rnf7	2	Cell_Fate_2
Gm7600	2	Cell_Fate_2
Bloc1s2	2	Cell_Fate_2
Gm4943	2	Cell_Fate_2
Gap43	3	Cell_Fate_2
Gng3	3	Cell_Fate_2
Nnat	3	Cell_Fate_2
Tmsb10	3	Cell_Fate_2
Calm1	3	Cell_Fate_2
Fkbp3	3	Cell_Fate_2
Stmn2	3	Cell_Fate_2
Eid1	3	Cell_Fate_2
Bex2	3	Cell_Fate_2
Tuba1a	3	Cell_Fate_2
Slc25a4	3	Cell_Fate_2
Pcp4	3	Cell_Fate_2
Gm1673	3	Cell_Fate_2
Pcsk1n	3	Cell_Fate_2
Stmn3	3	Cell_Fate_2
Mllt11	3	Cell_Fate_2
Calm2	3	Cell_Fate_2
Resp18	3	Cell_Fate_2
Uchl1	3	Cell_Fate_2
Hsp90ab1	3	Cell_Fate_2
Nap1l5	3	Cell_Fate_2
Nme1	3	Cell_Fate_2
Stmn1	3	Cell_Fate_2
Ndn	3	Cell_Fate_2
Bex1	3	Cell_Fate_2
6330403K07Rik	3	Cell_Fate_2
Nop10	3	Cell_Fate_2
Pdap1	3	Cell_Fate_2
Cox5a	3	Cell_Fate_2
Ly6h	3	Cell_Fate_2
Caly	3	Cell_Fate_2
Cisd1	3	Cell_Fate_2
Ptms	3	Cell_Fate_2
Tubb5	3	Cell_Fate_2
Fxyd7	3	Cell_Fate_2
Tbcb	3	Cell_Fate_2
Tuba1b	3	Cell_Fate_2
Gm11223	3	Cell_Fate_2
Cfdp1	3	Cell_Fate_2
Scg5	3	Cell_Fate_2
Snrpn	3	Cell_Fate_2
Hsbp1	3	Cell_Fate_2
Cacybp	3	Cell_Fate_2
2900011O08Rik	3	Cell_Fate_2
Tubb3	3	Cell_Fate_2
Ywhab	3	Cell_Fate_2
Tubb2b	3	Cell_Fate_2
Sdhb	3	Cell_Fate_2
Atp6v1e1	3	Cell_Fate_2
Serbp1	3	Cell_Fate_2
Chchd10	3	Cell_Fate_2
Skp1a	3	Cell_Fate_2
Ap1s2	3	Cell_Fate_2
Basp1	3	Cell_Fate_2
Dtd1	3	Cell_Fate_2
Hn1	3	Cell_Fate_2
Ywhah	3	Cell_Fate_2
A730017C20Rik	3	Cell_Fate_2
Tubb2a	3	Cell_Fate_2
Serp2	3	Cell_Fate_2
Tcf25	3	Cell_Fate_2
Fxyd6	3	Cell_Fate_2
Acot7	3	Cell_Fate_2
Serf1	3	Cell_Fate_2
Hist3h2ba	3	Cell_Fate_2
Gng2	3	Cell_Fate_2
Scg2	3	Cell_Fate_2
Ttc9b	3	Cell_Fate_2
Cartpt	3	Cell_Fate_2
Dusp26	3	Cell_Fate_2
Mgst3	3	Cell_Fate_2
Gm5881	3	Cell_Fate_2
Atp6v1d	3	Cell_Fate_2
Mdh2	3	Cell_Fate_2
Ywhaq	3	Cell_Fate_2
Gas5	3	Cell_Fate_2
Emc4	3	Cell_Fate_2
Prmt1	3	Cell_Fate_2
Chgb	3	Cell_Fate_2
Mrpl34	3	Cell_Fate_2
Atp1b1	3	Cell_Fate_2
Arpc5	3	Cell_Fate_2
Gm6368	3	Cell_Fate_2
Pafah1b3	3	Cell_Fate_2
Psme1	3	Cell_Fate_2
Calm3	3	Cell_Fate_2
Cdc42	3	Cell_Fate_2
Cct6a	3	Cell_Fate_2
Chd3os	3	Cell_Fate_2
Fabp3	3	Cell_Fate_2
Tceal5	3	Cell_Fate_2
Tsg101	3	Cell_Fate_2
1110008P14Rik	3	Cell_Fate_2
Zfp428	3	Cell_Fate_2
